Name,Land,Country,Kontinent,Continent,Adresse,Kategorie,Category,Gewicht,Notiz,Geocoordinates,Elevation,Formatted Address
Montanuni Leoben,Österreich,Austria,Europa,Europe,"Franz‐Josef‐Straße 18, 8700 Leoben",Forschungspartner,Research partner,2,,"47.3846991,15.0929492",540.6587524,"Franz Josef-Straße 18, 8700 Leoben, Austria"
Prime Aerostructures,Österreich,Austria,Europa,Europe,"Am Campus 1, 3400 Klosterneuburg",Forschungspartner,Research partner,1,,"48.3130728,16.25859",268.4777832,"Am Campus 1, 3400 Klosterneuburg, Austria"
Profactor,Österreich,Austria,Europa,Europe,"Im Stadtgut A2, 4407 Steyr‐Gleink",Forschungspartner,Research partner,1,,"48.0715645,14.4301289",308.0925293,"Im Stadtgut Zone A, 4407 Steyr, Austria"
Wild,Österreich,Austria,Europa,Europe,"Wildstraße 4, 9100 Völkermarkt",Forschungspartner,Research partner,1,,"46.6608981,14.6447404",453.8484802,"Wildstraße 4, 9100 Völkermarkt, Austria"
Fotec,Österreich,Austria,Europa,Europe,"Viktor Kaplan‐Straße 2, 2700 Wiener Neustadt",Forschungspartner,Research partner,1,,"47.8373309,16.2526272",268.0038757,"Viktor Kaplan-Straße 2, 2700 Wiener Neustadt, Austria"
TU Wien,Österreich,Austria,Europa,Europe,"Getreidemarkt 9, 1060 Wien",Forschungspartner,Research partner,3,,"48.2004037,16.3616487",180.1858368,"Getreidemarkt 9, 1060 Wien, Austria"
Noble Powder,Österreich,Austria,Europa,Europe,"Peter Tunner‐Straße 19, 8700 Leoben",Forschungspartner,Research partner,1,,"47.3836504,15.0914095",542.4605713,"Peter Tunner-Straße 19, 8700 Leoben, Austria"
CEST,Österreich,Austria,Europa,Europe,"Viktor‐Kaplan‐Straße 2, 2700 Wiener Neustadt",Forschungspartner,Research partner,1,,"47.8373309,16.2526272",268.0038757,"Viktor Kaplan-Straße 2, 2700 Wiener Neustadt, Austria"
RHP-Technology,Österreich,Austria,Europa,Europe,"Forschungszentrum Seibersdorf, Gebäude CA, 2444 Seibersdorf",Forschungspartner,Research partner,1,,"47.97709829999999,16.5093025",184.3267975,"Forschungs- u. Technologiezentrum, Gebäude Ca, 2444 Seibersdorf, Austria"
E. Hawle Amaturenwerke,Österreich,Austria,Europa,Europe,"Wagrainer Straße 13, 4840 Vöcklabruck",Forschungspartner,Research partner,1,,"48.0031342,13.662782",424.7086792,"Wagrainer Str. 13, 4840 Schöndorf, Austria"
Wild Elektronik,Österreich,Austria,Europa,Europe,"Industriestraße 4, 9241 Wernberg",Forschungspartner,Research partner,1,,"46.6203946,13.9432704",577.5400391,"Industriestraße 4, 9241 Wernberg, Austria"
Wien Energie,Österreich,Austria,Europa,Europe,"Thomas‐Klestil‐Platz 14, 1030 Wien",Forschungspartner,Research partner,2,,"48.192051,16.4129976",161.0009003,"Thomas-Klestil-Platz 14, 1030 Wien, Austria"
Joanneum Research,Österreich,Austria,Europa,Europe,"Leonhardstraße 59, 8010 Graz",Forschungspartner,Research partner,2,,"47.0740519,15.4550116",367.9380493,"Leonhardstraße 59, 8010 Graz, Austria"
Amateq GmbH,Österreich,Austria,Europa,Europe,"Untermühlberg 1, 4890 Frankenmarkt",Forschungspartner,Research partner,1,,"47.9902902,13.4461938",508.9734497,"Untermühlberg 1, 4890, Austria"
Schiebel Elektronische Geräte,Österreich,Austria,Europa,Europe,"Margaretenstraße 112, 1050 Wien",Forschungspartner,Research partner,1,,"48.1888586,16.3540467",180.1528778,"Margaretenstraße 112, 1050 Wien, Austria"
Kerkoc,Österreich,Austria,Europa,Europe,"Dirmhirngasse 112, 1230 Wien",Forschungspartner,Research partner,1,,"48.1389826,16.2844772",227.7457886,"Dirmhirngasse 112, 1230 Wien, Austria"
Cubicure,Österreich,Austria,Europa,Europe,"Gutheil‐Schoder‐Gasse 17, 1230 Wien",Forschungspartner,Research partner,1,,"48.1553803,16.3351326",192.1126862,"Gutheil-Schoder-Gasse 17, 1230 Wien, Austria"
