Name Institution,Land,Kontinent,Adresse,Anzahl outgoing,Anzahl incoming,,Geocoordinates,Formatted Address
Hogeschool Gent,Belgien,Europa,"Geraard de Duivelstraat 5, 9000 Gent, Belgien",1,1,,"51.052522,3.728285","Geraard de Duivelstraat 5, 9000 Gent, Belgium"
Loughborough University,Großbritannien,Europa,"Epinal Way, Loughborough LE11 3TU, Vereinigtes Königreich",1,,,"52.7679306,-1.2227527","Epinal Way, Loughborough LE11, UK"
Brno University of Technology,Tschechien,Europa,"1 548 Antonínská Brno-střed Brno Česká republika, 601 90, Tschechien",1,1,,"49.2015407,16.603619","Antonínská 548/1, 602 00 Brno-střed-Veveří, Czechia"
Universitat Politecnica de Valencia,Spanien,Europa,"Camí de Vera, 46022 València, Valencia, Spanien",4,1,,"39.4840797,-0.3419214","Camí de Vera, 46022 València, Valencia, Spain"
HTW Berlin,Deutschland,Europa,"Treskowallee 8, 10318 Berlin, Deutschland",1,,,"52.49222,13.5264999","Treskowallee 8, 10318 Berlin, Germany"
Linköping University,Schweden,Europa,"581 83 Linköping, Schweden",5,1,,"58.41080700000001,15.6213728","Linköping, Sweden"
Tecnico Lisboa,Portugal,Europa,"Av. Rovisco Pais 1, 1049-001 Lisboa, Portugal",4,2,,"38.736829,-9.1366116","Av. Rovisco Pais 1, 1000-268 Lisboa, Portugal"
Reykjavic University,Island,Europa,"Menntavegur 1, 102, 101 Reykjavík, Island",3,,,"64.1237262,-21.9254355","Háskólinn í Reykjavík, Menntavegur 1, 101 Reykjavík, Iceland"
Universidade Carlos 3 de madrid,Spanien,Europa,"Calle Madrid, 126, 28903 Getafe, Madrid, Spanien",3,2,,"40.3158475,-3.7266706","Calle Madrid, 126, 28903 Getafe, Madrid, Spain"
Tallinn University of Technology,Estland,Europa,"Ehitajate tee 5, 12616 Tallinn, Estland",1,,,"59.394226,24.6702599","Ehitajate tee 5, 12616 Tallinn, Estonia"
Mid Sweden University,Schweden,Europa,"Holmgatan, 852 30 Sundsvall, Schweden",7,,,"62.3935663,17.2832013","Holmgatan, 852 30 Sundsvall, Sweden"
Aarhus School of Marine and Technical Engineering,Dänemark,Europa,"Inge Lehmanns Gade 10, 8000 Aarhus C, Dänemark",2,,,"56.1586902,10.2155391","Inge Lehmanns Gade 10, 8000 Aarhus C, Denmark"
The Hague University of Applied Sciences,Niederlande,Europa,"Johanna Westerdijkplein 75, 2521 EN Den Haag, Niederlande",1,1,,"52.0670747,4.323974","Johanna Westerdijkplein 75, 2521 EN Den Haag, Netherlands"
Waterford Institute of Technology,Irland,Europa,"Cork Rd, Waterford, Irland",2,1,,"52.2463286,-7.143171499999999","Cork Rd, Waterford, Ireland"
Turku University of Applied Sciences,Finnland,Europa,"Joukahaisenkatu 3, 20520 Turku, Finnland",1,,,"60.44882500000001,22.2966101","Joukahaisenkatu 3, 20520 Turku, Finland"
Universidade de Trás-os-Montes e Alto Douro,Portugal,Europa,"Quinta de Prados, 5001-801 Vila Real, Portugal",1,,,"41.28738,-7.7389388","Quinta de Prados, 5001-801 Vila Real, Portugal"
Vaasa University of Applied Sciences,Finnland,Europa,"Wolffintie 30, 65200 Vaasa, Finnland",1,,,"63.1068864,21.5917039","Wolffintie 30, 65200 Vaasa, Finland"
Università degli studi di Bergamo,Italien,Europa,"via Salvecchio 19, 24129 Bergamo, Italien",1,1,,"45.704404,9.6604268","Via Salvecchio, 19, 24129 Bergamo BG, Italy"
National Taiwan University of Science and Technology,Taiwan,Asien,"No. 43, Section 4, Keelung Rd, Da’an District, Taipei City, Taiwan 106",2,4,,"25.0130898,121.5401282","No. 43, Section 4, Keelung Rd, Da’an District, Taipei City, Taiwan 106"
Universidad Nacional del Sur,Argentinien,Südamerika,"Av. Alem 1253, B8000 Bahía Blanca, Buenos Aires, Argentinien",1,,,"-38.701727,-62.27019600000001","Av. Alem 1253, B8000 Bahía Blanca, Buenos Aires, Argentina"
National Research University Higher School of Economics,Russland,Asien,"Myasnitskaya Ulitsa, 20, Moscow, Russland, 101000",5,2,,"55.7615816,37.633323","Myasnitskaya Ulitsa, 20, Moskva, Russia, 101000"
Konkuk University,Südkorea,Asien,"120 Neungdong-ro, Jayang-dong, Gwangjin-gu, Seoul, Südkorea",1,4,,"37.5419717,127.0767285","120 Neungdong-ro, Hwayang-dong, Gwangjin-gu, Seoul, South Korea"
Berner Fachhochschule,Schweiz,Europa,"Wankdorffeldstraße 102, 3013 Bern, Schweiz",1,,,"46.9648475,7.455995199999999","Wankdorffeldstrasse 102, 3014 Bern, Switzerland"
China Three Gorges University,China,Asien,"8 Daxue Rd, Xiling, Yichang, Hubei, China",5,1,,"30.715569,111.311667","8 Daxue Rd, Xiling Qu, Yichang Shi, Hubei Sheng, China, 443101"
"Università degli studi ""Guglielmo Marconi""",Italien,Europa,"Via Plinio, 44, 00193 Roma RM, Italien",9,,,"41.9072925,12.4645643","Via Plinio, 44, 00193 Roma RM, Italy"
Inha University,Südkorea,Asien,"100 Inha-ro, Yonghyeon 1(il).4(sa)-dong, Nam-gu, Incheon, Südkorea",1,4,,"37.4500221,126.653488","100 Inha-ro, Yonghyeon 1(il).4(sa)-dong, Nam-gu, Incheon, South Korea"
Mongolian University of Science and Technology,Mongolei,Asien,"Baga Toiruu 34, Sukhbaatar 14191, Mongolei",2,4,,"47.9220461,106.9243809","8, Baga Toiruu 34, Sukhbaatar 14191, Mongolia"
Universidad de Vigo,Spanien,Europa,"Circunvalación ao Campus Universitario, 36310 Vigo, Pontevedra, Spanien",,2,,"42.1642334,-8.6835098","Circunvalación ao Campus Universitario, 36310 Vigo, Pontevedra, Spain"
