Name Institution,Land,Country,Kontinent,Continent,Adresse,Anzahl outgoing,Anzahl incoming,,Geocoordinates,Formatted Address
Istanbul Commerce University,Türkei,Turkey,Asien,Asia,"Sütlüce, İmrahor Cd. No:90, 34445 Beyoğlu/İstanbul, Türkei",,1,,"41.0581271,28.951174","Sütlüce, İmrahor Cd. No:90, 34445 Beyoğlu/İstanbul, Turkey"
Université Savoie Mont Blanc,Frankreich,France,Europa,Europe,"27 Rue Marcoz, 73000 Chambéry, Frankreich",,2,,"45.56677579999999,5.917622","27 Rue Marcoz, 73000 Chambéry, France"
University of Vic,Spanien,Spain,Europa,Europe,"Carrer de la Sagrada Família, 7, 08500 Vic, Barcelona, Spanien",,2,,"41.9337611,2.2472818","Carrer de la Sagrada Família, 7, 08500 Vic, Barcelona, Spain"
Technische Universität Dresden,Deutschland,Germany,Europa,Europe,"01069 Dresden, Deutschland",,1,,"51.0391349,13.7376748","01069 Dresden, Germany"
Ulsan National Institute of Science and Technology,Südkorea,South Korea,Asien,Asia,"50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, Südkorea",,5,,"35.5763317,129.189255","50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, South Korea"
National Taipei University of Technology,Taiwan,Taiwan,Asien,Asia,"No. 1, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106",,3,,"25.0420752,121.5382937","No. 1, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106"
College of Polytechnics Jihlava,Tschechien,Czech Republic,Europa,Europe,"Tolstého 1556/16, 586 01 Jihlava, Tschechien",,2,,"49.3989111,15.5824503","Tolstého 1556/16, 586 01 Jihlava, Czechia"
Comenus University in Bratislava,Slowakei,Slovakia,Europa,Europe,"Šafárikovo námestie 6, 814 99 Bratislava, Slowakei",,1,,"48.1412253,17.1161423","Šafárikovo námestie 6, 811 02 Staré Mesto, Slovakia"
Hochschule Hannover,Deutschland,Germany,Europa,Europe,"Ricklinger Stadtweg 120, 30459 Hannover, Deutschland",,2,,"52.3544429,9.723168099999999","Ricklinger Stadtweg 120, 30459 Hannover, Germany"
University of National and World Economy,Bulgarien,Bulgaria,Europa,Europe,"ul. ""8-mi dekemvri"", 1700 Studentski Kompleks, Sofia, Bulgarien",,3,,"42.6521066,23.3448719","ul. ""8-mi dekemvri"" 1700, 1700 Studentski Kompleks, Sofia, Bulgaria"
Lapland University of Applied Sciences,Finnland,Finland,Europa,Europe,"okiväylä 11, 96300 Rovaniemi, Finnland",,4,,"66.4814313,25.7241388","Jokiväylä 11, 96300 Rovaniemi, Finland"
Tomas Bata University in Zlin,Tschechien,Czech Republic,Europa,Europe,"nám. T. G. Masaryka 5555, 760 01 Zlín, Tschechien",,5,,"49.2225955,17.6648964","nám. T. G. Masaryka 5555, 760 01 Zlín, Czechia"
Lublin University of Technology,Polen,Poland,Europa,Europe,"20-618 Lublin, Polen",,5,,"51.2359768,22.5516998","20-618 Lublin, Poland"
University of Bergamo,Italien,Italy,Europa,Europe,"Via Salvecchio, 19, 24129 Bergamo BG, Italien",,4,,"45.704404,9.6604268","Via Salvecchio, 19, 24129 Bergamo BG, Italy"
University of Navarra,Spanien,Spain,Europa,Europe,"Campus Universitario, 31009 Pamplona, Navarra, Spanien",,1,,"42.8015193,-1.657218","Edificio Biblioteca Campus Universitario, 31009 Pamplona, Navarra, Spain"
University of Luxemberg,Luxemburg,Luxembourg,Europa,Europe,"2, avenue de l'Université, 4365 Esch-sur-Alzette, Luxemburg",,1,,"49.50455299999999,5.948429","2 Avenue de l'Universite, 4365 Esch-sur-Alzette, Luxembourg"
Szechenyi Istvan University,Ungarn,Hungary,Europa,Europe,"Győr, Egyetem tér 1, 9026 Ungarn",,2,,"47.6943519,17.6255607","Győr, Egyetem tér 1, 9026 Hungary"
Fachhochschule Ulm,Deutschland,Germany,Europa,Europe,"Prittwitzstraße 10, 89075 Ulm, Deutschland",,1,,"48.40885000000001,9.997489999999999","Prittwitzstraße 10, 89075 Ulm, Germany"
