Herkunftsland,Kontinent,Anzahl,,Geocoordinates,Elevation,Formatted Address
Island,Europa,1,,"64.963051,-19.020835",822,Iceland
Israel,Asien,5,,"31.046051,34.851612",462.0045471,Israel
Italien,Europa,37,,"41.87194,12.56738",39.45388031,Italy
Japan,Asien,1,,"36.204824,138.252924",996.756897,Japan
Jordanien,Asien,1,,"30.585164,36.238414",912.0953979,Jordan
Kamerun,Afrika,1,,"7.369721999999999,12.354722",1328.560303,Cameroon
Kasachstan,Asien,5,,"48.019573,66.923684",476.7554932,Kazakhstan
Kenia,Afrika,1,,"-0.023559,37.906193",822.9911499,Kenya
Kirgistan,Asien,1,,"41.20438,74.766098",2103.424316,Kyrgyzstan
Kolumbien,Südamerika,3,,"4.570868,-74.297333",2512.470215,Colombia
Südkorea,Asien,2,,"35.907757,127.766922",561.034668,South Korea
Kosovo,Europa,3,,"42.6026359,20.902977",589.1018677,Kosovo
Kroatien,Europa,29,,"45.1,15.2000001",896.6038818,Croatia
Lettland,Europa,2,,"56.879635,24.603189",29.97242928,Latvia
Libanon,Asien,1,,"33.854721,35.862285",1186.648193,Lebanon
Libyen,Afrika,1,,"26.3351,17.228331",552.4244385,Libya
Luxemburg,Europa,5,,"49.815273,6.129582999999999",307.6140747,Luxembourg
Marokko,Afrika,3,,"31.791702,-7.092619999999999",731.87323,Morocco
Mazedonien,Europa,7,,"41.608635,21.745275",288.351532,North Macedonia
Mexiko,Nordamerika,5,,"23.634501,-102.552784",1976.763184,Mexico
Mongolei,Asien,4,,"46.862496,103.846656",1673.258423,Mongolia
Nepal,Asien,1,,"28.394857,84.12400799999999",1962.321167,Nepal
Nigeria,Afrika,3,,"9.081999,8.675277",481.9515381,Nigeria
Oman,Asien,3,,"21.4735329,55.975413",53.90106201,Oman
Pakistan,Asien,4,,"30.375321,69.34511599999999",1376.795532,Pakistan
Palästina,Asien,1,,"31.952162,35.233154",855.5371704,Palestine
Peru,Südamerika,1,,"-9.189967,-75.015152",236.6261139,Peru
Philippinen,Asien,2,,"12.879721,121.774017",-376.9819946,Philippines
Polen,Europa,28,,"51.919438,19.145136",138.0327454,Poland
Portugal,Europa,2,,"39.39987199999999,-8.224454",167.0383453,Portugal
Rumänien,Europa,33,,"45.943161,24.96676",627.3574219,Romania
Russland,Asien,12,,"61.52401,105.318756",389.0949097,Russia
Schweden,Europa,1,,"60.12816100000001,18.643501",13.02115822,Sweden
Schweiz,Europa,7,,"46.818188,8.227511999999999",1503.919556,Switzerland
Serbien,Europa,31,,"44.016521,21.005859",365.3418274,Serbia
Simbabwe,Afrika,1,,"-19.015438,29.154857",1243.324097,Zimbabwe
Slowakei,Europa,16,,"48.669026,19.699024",990.7973022,Slovakia
Slowenien,Europa,5,,"46.151241,14.995463",335.8686829,Slovenia
